Event Name,Event Date,Event Location,Event Type,Event Region,Location Longitude,Location Latitude,Temperature,Min Temperature,Max Temperature,Humidity,Description,Weather Description
My Dinner with SAM,3/13/2024,Seattle Art Museum,Museums,Downtown,-122.3385575,47.6077008,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Seattle Kraken vs. Washington Capitals,3/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Taste Washington: Pacific Standard,3/14/2024,Pier 62,Festivals & Special Events,Downtown,-122.34484275866666,47.60853229999999,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Autoheart,3/15/2024,El Corazon,Music,Downtown,-78.9699948,-5.2464353,18.74,18.74,18.74,82,overcast clouds,overcast clouds
Goose Vargis,3/15/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Taste Washington: The New Vintage,3/15/2024,Pier 62,Festivals & Special Events,Downtown,-122.34484275866666,47.60853229999999,4.98,3.07,7.84,89,overcast clouds,overcast clouds
The Snuts,3/15/2024,Barboza,Music,Capitol Hill / Central District,-41.0275842,-13.248885,24.65,24.65,24.65,66,scattered clouds,scattered clouds
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024,Meany Center for the Performing Arts,Music,University District,,,Not found,Not found,Not found,Not found,Not found,
Sibelius & Nielsen,3/14/2024 through 3/16/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024,accesso ShoWare Center,Sports,South,-122.24000381780328,47.38765995,6.39,3.21,8.28,81,overcast clouds,overcast clouds
Matt Hansen,3/16/2024,Barboza,Music,Capitol Hill / Central District,-41.0275842,-13.248885,24.65,24.65,24.65,66,scattered clouds,scattered clouds
Seattle Kraken vs. Nashville Predators,3/16/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Sounders FC vs. Colorado Rapids,3/16/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Taste Washington: The Seminars,3/16/2024,"Seattle, WA",Festivals & Special Events,Downtown,-122.330062,47.6038321,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Native Portraiture: Power and Perception,Now through 3/17/2024,Tacoma Art Museum,Museums,South,-122.43680521780016,47.2475134,6.44,3.75,8.54,80,light intensity drizzle,overcast clouds
Places to Call Home: Settlements in the West,Now through 3/17/2024,Tacoma Art Museum,Museums,South,-122.43680521780016,47.2475134,6.44,3.75,8.54,80,light intensity drizzle,overcast clouds
Nobody Lives Here,Now through 3/17/2024,Wing Luke Museum,Museums,International District,-122.3228705,47.5982461,4.87,2.91,7.68,89,overcast clouds,overcast clouds
Seattle Jewish Film Festival,3/2/2024 through 3/17/2024,"Seattle, WA",Festivals & Special Events,Downtown,-122.330062,47.6038321,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Rootabaga Country,3/8/2024 through 3/17/2024,Opera Center,Music,Queen Anne / Seattle Center,26.079138268508792,44.43358325,7.46,5.62,9.42,67,clear sky,clear sky
Festal: Irish Festival Seattle,3/16/2024 through 3/17/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Taste Washington: The Grand Tasting,3/16/2024 through 3/17/2024,Lumen Field,Festivals & Special Events,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
BAS,3/17/2024,Neumos,Music,Capitol Hill / Central District,-122.3196108,47.613954,4.54,2.66,7.42,90,overcast clouds,overcast clouds
Brad Parsons,3/17/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
’68,3/18/2024,Funhouse,Music,Capitol Hill / Central District,-72.2840663,43.6576535,-1.82,-3.25,-0.27,42,overcast clouds,overcast clouds
Jimmy Chamberlin Complex,3/18/2024,Neumos,Music,Capitol Hill / Central District,-122.3196108,47.613954,4.54,2.66,7.42,90,overcast clouds,overcast clouds
Seattle Kraken vs. Buffalo Sabres,3/18/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Taste Washington: No Frills,3/18/2024,"Seattle, WA",Festivals & Special Events,Downtown,-122.330062,47.6038321,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Darkest Hour,3/19/2024,El Corazon,Music,Downtown,-78.9699948,-5.2464353,18.74,18.74,18.74,82,overcast clouds,overcast clouds
Dragontail Peak,3/19/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
El Perro del Mar,3/19/2024,Barboza,Music,Capitol Hill / Central District,-41.0275842,-13.248885,24.65,24.65,24.65,66,scattered clouds,scattered clouds
Combichrist,3/20/2024,El Corazon,Music,Downtown,-78.9699948,-5.2464353,18.74,18.74,18.74,82,overcast clouds,overcast clouds
Jon Vinyl,3/20/2024,Barboza,Music,Capitol Hill / Central District,-41.0275842,-13.248885,24.65,24.65,24.65,66,scattered clouds,scattered clouds
Mayuan Poet,3/20/2024,Neumos,Music,Capitol Hill / Central District,-122.3196108,47.613954,4.54,2.66,7.42,90,overcast clouds,overcast clouds
The Forensic Archive of Landscapes: Paloma Contreras Lomas,3/20/2024,Seattle Art Museum,Museums,Downtown,-122.3385575,47.6077008,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Flyana Boss,3/21/2024,Barboza,Music,Capitol Hill / Central District,-41.0275842,-13.248885,24.65,24.65,24.65,66,scattered clouds,scattered clouds
glass beach,3/21/2024,Neumos,Music,Capitol Hill / Central District,-122.3196108,47.613954,4.54,2.66,7.42,90,overcast clouds,overcast clouds
Taste Washington: Dinner Series,3/21/2024 through 3/23/2024,"Seattle, WA",Festivals & Special Events,Downtown,-122.330062,47.6038321,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Jennifer Hartswick Band,3/23/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Monster Energy AMA Supercross!,3/23/2024,Lumen Field,Festivals & Special Events,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Tacoma Stars vs. Empire Strykers,3/23/2024,accesso ShoWare Center,Sports,South,-122.24000381780328,47.38765995,6.39,3.21,8.28,81,overcast clouds,overcast clouds
Something’s Afoot,3/1/2024 through 3/24/2024,The 5th Avenue Theatre,Theatre,Downtown,-75.1300389,39.7329068,3.03,1.81,3.96,61,broken clouds,broken clouds
One Thousand Pieces,3/15/2024 through 3/24/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,-122.35038850536958,47.62397705,4.87,3.05,7.82,89,light rain,light rain
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Celebrate Holi! Spring Festival of Colors from South Asia,3/24/2024,Burke Museum,Museums,University District,-122.31156049949824,47.6605211,4.71,2.97,7.69,91,overcast clouds,overcast clouds
Festal: Seattle’s French Fest,3/24/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Seattle Kraken vs. Montreal Canadiens,3/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Jonah Kagen,3/25/2024,Barboza,Music,Capitol Hill / Central District,-41.0275842,-13.248885,24.65,24.65,24.65,66,scattered clouds,scattered clouds
Kim Dracula,3/25/2024,Neumos,Music,Capitol Hill / Central District,-122.3196108,47.613954,4.54,2.66,7.42,90,overcast clouds,overcast clouds
Seattle Kraken vs. Anaheim Ducks,3/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Kraken vs. Anaheim Ducks,3/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
DJ DAN with Max Gain,3/29/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
SAM Remix,3/29/2024,Seattle Art Museum,Museums,Downtown,-122.3385575,47.6077008,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Tim McGraw,3/29/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Harold and the Purple Crayon,3/23/2024 through 3/30/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,-122.35038850536958,47.62397705,4.87,3.05,7.82,89,light rain,light rain
Monster Jam,3/30/2024,Lumen Field,Festivals & Special Events,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Seattle Kraken vs. Dallas Stars,3/30/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Illuminate: Glass Art for Early Learners,Now through 3/31/2024,Museum of Glass,Museums,South,-122.43381971536058,47.24582405,6.6,3.86,8.65,80,light rain,light rain
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024,Museum of History & Industry,Museums,Queen Anne / Seattle Center,-122.3367506,47.6275114,5.09,3.27,8.03,89,overcast clouds,overcast clouds
Shine On Seattle,Now through 3/31/2024,Pioneer Square,Festivals & Special Events,Pioneer Square,-122.67929660431365,45.5189007,5.06,2.54,8.65,91,light rain,light rain
Exhibition Tour: Calder,Now through 3/31/2024,Seattle Art Museum,Museums,Downtown,-122.3385575,47.6077008,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Public Tour: Highlights from SAM’s Collection,Now through 3/31/2024,Seattle Art Museum,Museums,Downtown,-122.3385575,47.6077008,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Public Tour: Journeys Through Time and Space,Now through 3/31/2024,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,-122.31413540328062,47.63029565,4.29,2.44,7.21,90,overcast clouds,overcast clouds
Sanctuary City,3/1/2024 through 3/31/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,-122.3285576,47.6145597,4.7,2.79,7.56,90,light rain,light rain
Stew,3/15/2024 through 3/31/2024,ACT Theatre,Theatre,Downtown,-122.3323262,47.6108495,4.7,2.79,7.56,90,light rain,light rain
Sakura-Con 2024,3/29/2024 through 3/31/2024,Seattle Convention Center,Festivals & Special Events,Downtown,-122.33156275066185,47.61175385,4.7,2.79,7.56,90,light rain,light rain
Joey Harkum,4/2/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Luis Miguel,4/4/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Taylor Raven and Duke Kim in Recital,4/4/2024,Opera Center,Music,Queen Anne / Seattle Center,26.079138268508792,44.43358325,7.46,5.62,9.42,67,clear sky,clear sky
Jo Koy,4/5/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Copland Appalachian Spring,4/4/2024 through 4/6/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Red Bull Lords of Floor,4/6/2024,WaMu Theater,Dance,Pioneer Square,-122.3329041,47.593154,5.22,3.25,8.02,89,overcast clouds,overcast clouds
Seattle Sounders FC vs. CF Montreal,4/6/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Tom Segura,4/6/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024,National Nordic Museum,Museums,Fremont / Ballard,-122.39177949359151,47.6683615,4.85,3.25,7.64,92,light rain,light rain
Beetlejuice,4/2/2024 through 4/7/2024,The Paramount Theatre,Theatre,Downtown,-73.42561952873208,40.8697559,0.87,-0.14,2.19,66,clear sky,clear sky
Seattle Kraken vs. Arizona Coyotes,4/9/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Kraken vs. San Jose Sharks,4/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024,Seattle Art Museum,Museums,Downtown,-122.3385575,47.6077008,4.98,3.07,7.84,89,overcast clouds,overcast clouds
The Moors,3/22/2024 through 4/14/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,-122.3398325,47.6821341,4.54,2.92,7.3,92,light rain,light rain
Mahler Symphony No. 3,4/11/2024 through 4/14/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Festal: Seattle Cherry Blossom & Japanese Cultural Festival,4/12/2024 through 4/14/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024,Magnuson Park,Festivals & Special Events,University District,-122.25462087672659,47.6819164,4.94,3.21,7.96,91,overcast clouds,overcast clouds
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,-121.5253351,38.5997628,17.05,15.99,18.21,57,few clouds,few clouds
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Seattle Sounders FC vs. Vancouver Whitecaps FC,4/20/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
The Seasons’ Canon,4/12/2024 through 4/21/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,-122.35038850536958,47.62397705,4.87,3.05,7.82,89,light rain,light rain
DRUM TAO 30th Anniversary,4/22/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Restaurant Week,4/14/2024 through 4/27/2024,"Seattle, WA",Festivals & Special Events,Downtown,-122.330062,47.6038321,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Disney’s Aladdin,4/24/2024 through 4/28/2024,The Paramount Theatre,Theatre,Downtown,-73.42561952873208,40.8697559,0.87,-0.14,2.19,66,clear sky,clear sky
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Skagit Valley Tulip Festival,4/1/2024 through 4/30/2024,Skagit Valley Tulip Festival,Festivals & Special Events,North,-122.3380122,48.4176355,5.72,3.83,6.83,78,overcast clouds,overcast clouds
My Dinner with SAM,5/2/2024,Olympic Sculpture Park,Museums,Downtown,-122.35431328817567,47.6162378,4.87,3.05,7.82,89,light rain,light rain
Noah Geller’s Playlist,5/3/2024 through 5/4/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Broadway Spectacular,5/4/2024,Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center,,,Not found,Not found,Not found,Not found,Not found,
Festal: Asian Pacific Islander Heritage Month Celebration,5/4/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Opening Day of Boating Season,5/4/2024,Seattle Yacht Club,Festivals & Special Events,University District,-122.30860586841534,47.64534825,5.03,3.24,8.01,91,overcast clouds,overcast clouds
Jessica Jackson Hutchins: Wrecked and Righteous,Now through 5/5/2024,Frye Art Museum,Museums,Capitol Hill / Central District,-122.32405377084555,47.60719095,4.54,2.66,7.42,90,overcast clouds,overcast clouds
The Lion Tells His Tale,5/1/2024 through 5/5/2024,Broadway Performance Hall,Theatre,Capitol Hill / Central District,-122.32186077039998,47.6158151,4.54,2.66,7.42,90,light rain,light rain
Seattle Sounders FC vs. LA Galaxy,5/5/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Melanie Martinez,5/10/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Festal: Spirit of Africa,5/11/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024,Wing Luke Museum,Museums,International District,-122.3228705,47.5982461,4.87,2.91,7.68,89,overcast clouds,overcast clouds
Jaune Quick-to-See Smith: Memory Map,2/29/2024 through 5/12/2024,Seattle Art Museum,Museums,Downtown,-122.3385575,47.6077008,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Fat Ham,4/12/2024 through 5/12/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,-122.3285576,47.6145597,4.7,2.79,7.56,90,light rain,light rain
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,-122.35225726215312,47.6204553,4.87,3.05,7.82,89,light rain,light rain
The Lehman Trilogy,4/26/2024 through 5/12/2024,ACT Theatre,Theatre,Downtown,-122.3323262,47.6108495,4.7,2.79,7.56,90,light rain,light rain
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024,Benaroya Hall,Readings & Lectures,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Seattle Storm vs Minnesota Lynx,5/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
The Rolling Stones,5/15/2024,Lumen Field,Music,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Mother,5/17/2024,415 Westlake,Music,Queen Anne / Seattle Center,-121.5253351,38.5997628,17.05,15.99,18.21,57,few clouds,few clouds
Barber Violin Concerto,5/16/2024 through 5/18/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Festal: A Glimpse of China – Seattle Chinese Culture & Arts Festival,5/18/2024,"Seattle, WA",Festivals & Special Events,Downtown,-122.330062,47.6038321,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Seattle Sounders FC vs. Vancouver Whitecaps FC,5/18/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Seattle International Film Festival,5/9/2024 through 5/19/2024,"Seattle, WA",Festivals & Special Events,Downtown,-122.330062,47.6038321,5.22,3.26,8.03,89,overcast clouds,overcast clouds
U District Street Fair,5/18/2024 through 5/19/2024,"Seattle, WA",Festivals & Special Events,Downtown,-122.330062,47.6038321,5.22,3.26,8.03,89,overcast clouds,overcast clouds
